ID,Initial_date,After Date,initial_pollen_weight,final_pollen_weight,initial_sucrose_weight,After Time,final_sucrose_weight,NOTES
71,20-Nov,22-Nov,0.4074,0.392,36.3232,1:12 PM,34.5902,
72,20-Nov,22-Nov,0.3427,0.3057,35.6501,1:12 PM,32.8838,
73,20-Nov,22-Nov,0.4018,0.3798,36.2443,1:12 PM,34.4976,
74,20-Nov,22-Nov,0.442,0.3064,36.0234,1:12 PM,18.2929,
75,20-Nov,22-Nov,0.3791,0.3799,58.6146,1:12 PM,55.673,
76,20-Nov,22-Nov,0.3552,0.3265,37.3136,1:12 PM,33.2285,
77,20-Nov,22-Nov,0.3646,0.325,37.8936,1:12 PM,29.9424,
78,20-Nov,22-Nov,0.408,0.3896,36.9219,1:12 PM,33.4479,
79,20-Nov,22-Nov,0.4219,0.402,37.5882,1:12 PM,34.5778,
80,20-Nov,22-Nov,0.3991,0.3987,35.9249,1:30 PM,20.1794,
81,20-Nov,22-Nov,0.4665,0.4172,37.5798,1:30 PM,31.5148,
82,20-Nov,22-Nov,0.4816,0.3528,25.1305,1:30 PM,22.6952,
83,20-Nov,22-Nov,0.3917,0.414,36.9429,1:30 PM,34.241,
84,20-Nov,22-Nov,0.3807,0.3528,37.0622,1:30 PM,34.4792,
85,20-Nov,22-Nov,0.4052,0.3917,35.574,1:30 PM,18.6764,
86,20-Nov,22-Nov,0.3775,0.3481,38.4872,1:30 PM,30.7492,
87,20-Nov,22-Nov,0.4346,0.3403,36.204,1:30 PM,33.5325,
88,20-Nov,22-Nov,0.4302,0.315,36.2223,1:30 PM,34.1038,
89,20-Nov,22-Nov,0.4559,0.4122,35.7155,1:30 PM,32.3075,
90,20-Nov,22-Nov,0.3484,0.3472,37.2794,1:30 PM,34.2848,
91,20-Nov,22-Nov,0.3631,0.3393,36.3611,1:30 PM,33.3032,
92,,22-Nov,,,38.2285,1:30 PM,,
93,20-Nov,22-Nov,0.4318,0.3741,36.8374,1:30 PM,34.083,
94,20-Nov,22-Nov,0.4245,0.4076,36.0162,1:30 PM,39.2881,
95,20-Nov,22-Nov,0.5061,0.3998,37.2588,1:30 PM,,
96,20-Nov,22-Nov,0.4482,0.4325,36.1636,1:30 PM,33.1944,
97,20-Nov,22-Nov,0.3233,0.2906,17.8487,1:30 PM,15.5855,
98,20-Nov,22-Nov,0.3548,0.3195,17.8059,1:30 PM,15.6249,
99,20-Nov,22-Nov,0.4156,0.3631,17.9702,1:30 PM,15.0187,
100,20-Nov,22-Nov,0.4284,0.4092,20.1984,1:30 PM,17.9541,
101,20-Nov,22-Nov,0.4011,0.3773,17.6942,1:30 PM,15.2455,
102,20-Nov,22-Nov,0.4315,0.3644,18.0854,1:30 PM,15.4134,
103,20-Nov,22-Nov,0.466,0.4449,17.8183,1:30 PM,15.1497,
104,20-Nov,22-Nov,0.395,0.2695,17.4829,1:30 PM,14.2529,
105,20-Nov,22-Nov,0.4115,0.3631,17.7336,1:30 PM,14.923,
106,20-Nov,22-Nov,0.4182,0.4055,17.776,1:30 PM,15.3475,
107,20-Nov,22-Nov,0.3984,0.3745,17.7488,1:30 PM,15.4752,
108,20-Nov,22-Nov,0.433,0.4152,17.9295,1:30 PM,15.2899,
109,20-Nov,22-Nov,0.4737,0.4186,17.7925,1:30 PM,15.2164,
110,20-Nov,22-Nov,0.4541,0.4529,17.7957,1:30 PM,15.3704,
111,20-Nov,22-Nov,0.3952,0.371,17.5457,1:30 PM,24.8877,
112,20-Nov,22-Nov,0.3705,0.3346,17.6481,1:30 PM,15.0761,
113,20-Nov,22-Nov,0.4006,0.382,17.5457,1:30 PM,14.7912,
114,20-Nov,22-Nov,0.3927,0.3859,17.7508,1:30 PM,15.0806,
115,20-Nov,22-Nov,0.4153,0.3839,17.7982,1:30 PM,15.5415,
116,20-Nov,22-Nov,0.5013,0.394,37.5739,1:30 PM,31.6529,
117,20-Nov,22-Nov,0.4426,0.4283,36.9434,1:30 PM,31.1953,
118,20-Nov,22-Nov,0.3259,0.3436,85.5424,1:30 PM,30.5226,
119,20-Nov,22-Nov,0.3797,0.4046,36.0341,1:30 PM,25.9279,
120,20-Nov,22-Nov,0.4185,0.3963,35.481,1:30 PM,24.2976,
121,20-Nov,22-Nov,0.3928,0.3833,36.2562,1:30 PM,30.9317,
122,,22-Nov,,,,1:30 PM,,
123,20-Nov,22-Nov,0.4576,0.3261,36.2861,1:30 PM,35.7306,
124,20-Nov,22-Nov,0.455,0.4368,35.4744,1:30 PM,29.4063,
125,20-Nov,22-Nov,0.3763,0.3589,43.2861,1:30 PM,37.6971,
126,20-Nov,22-Nov,0.3505,0.3422,36.315,1:30 PM,17.4513,
127,4-Dec,6-Dec,0.4546,0.4244,14.9409,5:00 PM,12.3838,
128,4-Dec,6-Dec,0.4775,0.435,16.1192,5:00 PM,13.7861,
129,4-Dec,6-Dec,0.4696,,40.0064,5:00 PM,,
130,4-Dec,6-Dec,0.4935,0.4147,41.4956,5:00 PM,38.9853,
131,4-Dec,6-Dec,0.5242,0.4564,45.4287,5:00 PM,41.556,
